OrderID,Product
1,Gloves
2,Bottle
2,Helmet
3,Helmet
4,Shoes
4,Jersey
4,Bike
4,Gloves
5,Jersey
6,Gloves
6,Bottle
7,Helmet
7,Bottle
7,Jersey
7,Gloves
8,Jersey
9,Helmet
9,Bottle
9,Shoes
10,Shoes
11,Jersey
11,Bike
12,Gloves
12,Shoes
12,Bike
13,Shoes
13,Helmet
14,Jersey
14,Gloves
14,Shoes
14,Bottle
15,Bottle
15,Shoes
15,Jersey
16,Bottle
16,Jersey
16,Shoes
16,Helmet
17,Helmet
18,Shoes
18,Jersey
19,Bike
20,Shoes
20,Bottle
20,Gloves
21,Gloves
22,Helmet
22,Bottle
22,Gloves
23,Bottle
23,Helmet
23,Jersey
24,Helmet
24,Shoes
24,Bike
24,Jersey
25,Helmet
25,Shoes
25,Bike
26,Bottle
27,Shoes
27,Bottle
27,Gloves
28,Bike
29,Helmet
29,Bottle
30,Bottle
30,Jersey
31,Jersey
31,Bottle
31,Shoes
32,Shoes
32,Jersey
32,Bottle
33,Bike
34,Jersey
35,Gloves
35,Jersey
35,Helmet
36,Helmet
37,Jersey
37,Bike
37,Bottle
37,Gloves
38,Shoes
39,Gloves
40,Bottle
40,Helmet
40,Bike
40,Shoes
41,Bottle
41,Jersey
42,Bottle
42,Jersey
42,Helmet
43,Helmet
43,Jersey
43,Gloves
43,Shoes
44,Helmet
44,Jersey
44,Bottle
45,Shoes
45,Bottle
46,Helmet
46,Gloves
46,Shoes
46,Bike
47,Gloves
47,Bike
47,Jersey
47,Helmet
48,Shoes
49,Bike
49,Bottle
49,Gloves
49,Shoes
50,Jersey
50,Shoes
51,Bike
52,Helmet
52,Bottle
52,Shoes
52,Jersey
53,Gloves
53,Helmet
54,Bike
54,Shoes
55,Helmet
55,Bottle
55,Gloves
56,Helmet
56,Shoes
56,Bottle
57,Bike
57,Helmet
58,Helmet
58,Jersey
58,Shoes
58,Bike
59,Bottle
59,Bike
59,Gloves
60,Bottle
61,Gloves
61,Bottle
61,Helmet
61,Jersey
62,Bike
63,Jersey
63,Bottle
63,Gloves
63,Shoes
64,Bottle
65,Gloves
65,Bottle
65,Helmet
66,Bike
66,Jersey
67,Bottle
68,Jersey
68,Helmet
69,Gloves
69,Helmet
70,Helmet
70,Bike
70,Bottle
70,Jersey
71,Bottle
71,Bike
72,Helmet
73,Helmet
74,Bottle
75,Bike
75,Gloves
75,Jersey
76,Shoes
76,Bike
76,Helmet
76,Jersey
77,Bottle
78,Helmet
78,Jersey
79,Helmet
79,Jersey
79,Gloves
79,Shoes
80,Bike
80,Helmet
